家賃,物件番号,情報更新日,次回更新予定日,所在地,建物名,沿線・駅・交通,専有面積,専用庭面積,間取り,間取り内訳,バルコニー,サービスルーム数,小学校区,中学校区,駐車場,駐車場：形式,駐車場：状況,駐車場備考,駐車場敷金,敷金,礼金,精算方式,保証金,保証金償却,管理費,共益費,雑費,家賃保証会社,家賃保証・保証費用等,保険,更新料,その他一時金,施設費用,その他費用,賃貸借区分,契約期間,特優賃区分,管理員の勤務形態,敷地延長,建物構造,建物工法,最適用途,階建,階,築年月,現況,入居可能時期,設備,特記事項,備考,取引態様,担当者,担当者連絡先
4,98223721,2022年12月06日,2022年12月20日,福岡市中央区舞鶴１丁目９－３  mapを見る,朝日プラザ天神  611,福岡市空港線天神駅 徒歩4分 舞鶴１丁目バス停 徒歩2分 駅までmap 西鉄天神大牟田線西鉄福岡（天神）駅 徒歩8分 駅までmap ,20.99㎡ / 約6.35坪,,ワンルーム,洋7.5, 西,,,,無,,　,,,無,1ヶ月 / 4万円,,無,,無,無,無,,,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,,,,,2年,,,,ＳＲＣ,,,地上13階建,6階部分,1986[S61]年5月,空家,相談　2022年9月27日,都市ガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ同　 シャワー　 ＣＡＴＶ　 洗面台　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 駐輪場　 防犯カメラ　,分譲タイプ　,近くにコンビニ・スーパーがあり、好立地です。,専任媒介,,"
"
4,99279373,2022年12月05日,2022年12月11日,福岡市中央区地行４丁目8-12  mapを見る,ヌメルスⅡ  101,福岡市空港線唐人町駅 徒歩6分 駅までmap ,壁芯21.96㎡ / 約6.64坪,,1K,洋7.6／Ｋ2, 南東,,,,無,,　,,,無,1ヶ月,,無,,無,,無,有 リーガル保証※契約者や条件によっては、内容が変更になる場合があります。,,有※契約者や条件によっては、内容が変更になる場合があります。,無,ルームケアプラス：3万8500円鍵交換代：1万9800円,,町費：250円 / 月プラスライフ24：990円 / 月浄水器リース代：1100円 / 月,,1年,,,,鉄骨造,,,地上2階建,1階部分,2001[H13]年3月,空家,相談　,都市ガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 収納スペース　 システムキッチン　 洗面所　 洗面台　 洗濯機置場　 室内洗濯機置場　 浴室乾燥機　 フローリング　 ２口コンロ　 独立洗面脱衣所　,ペット不可　 日当り良好　 閑静住宅街　 角部屋　 高齢者相談　,,専任媒介,,"
"
6.3,99298749,2022年12月05日,2022年12月19日,福岡市西区愛宕南１丁目9-31  mapを見る,ドミール姪浜 A棟 202,筑肥線姪浜駅 徒歩13分 駅までmap 福岡市空港線姪浜駅 徒歩13分 駅までmap 福岡市空港線室見駅 徒歩15分 駅までmap ,内法55.94㎡ / 約16.92坪,,2LDK,, 南西,,福岡市立姪浜小学校　距離1599ｍ,福岡市立内浜中学校　距離1206ｍ,空有　5500円,,　,,,無,2ヶ月,実費,無,,無,2000円,無,有 ジェイリース※契約者や条件によっては、内容が変更になる場合があります。,賃料総額の80％,有、20000円、2年、e-Net少額短期保険（例）※契約者や条件によっては、内容が変更になる場合があります。,,,,口座振替手数料：220円 / 月,,2年,,巡回,,鉄骨造,,,地上2階建,2階部分,1987[S62]年7月,空家,相談　,プロパンガス　 給湯　 トイレ　 バス・トイレ別　 温水洗浄便座　 ガスコンロ設置可　 洗面台　 室内洗濯機置場　 バルコニー　 ＴＶモニタ付きインターホン　 駐輪場　 独立洗面脱衣所　 ＣＡＴＶインターネット　 シューズボックス　 押入れ　,,鍵交換代が別途かかります。,代理,,"
"
5,99313700,2022年12月05日,2022年12月19日,福岡市東区美和台７丁目２９－３  mapを見る,ワンダフル美和台  302,西日本鉄道貝塚線三苫駅 徒歩3分 美和台２丁目バス停 徒歩1分 駅までmap 鹿児島本線福工大前駅 徒歩18分 駅までmap ,45㎡ / 約13.61坪,,2DK,ＤＫ6／洋4.5／和6, 南西,,,,空有　1万1000円,,　,,,無,1ヶ月 / 5万円,,無,,無,2000円,無,,,有、20000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,,,,,2年,,,,ＲＣ,,,地上3階建,3階部分,1992[H4]年10月,空家,相談　,都市ガス　 電気　 上水道　 エアコン　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＣＡＴＶ　 ガスコンロ設置可　 シャンプードレッサー　 室内洗濯機置場　 フローリング　 バルコニー　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 インターネット使い放題　 独立洗面脱衣所　,,駐車場の空きについては要確認,専任媒介,,"
"
4.8,99297068,2022年12月06日,2022年12月20日,福岡市博多区築港本町8-10  周辺mapを見る,達川ビル  303,福岡市空港線中洲川端駅 徒歩16分 福岡市箱崎線中洲川端駅 徒歩16分 福岡市箱崎線呉服町駅 徒歩17分 ,40㎡ / 約12.10坪,,2DK,和 6　洋 6　DK 4,,,,,,,　,,,1ヶ月,無,敷引 1ヶ月,無,,無,無,無,有 ふれんず宅建保証※契約者や条件によっては、内容が変更になる場合があります。,,有※契約者や条件によっては、内容が変更になる場合があります。,無,,,,,1年,,,,ＲＣ,,,地上4階建,3階部分,1979[S54]年5月,空家,即時　,エアコン　 給湯　 トイレ　 バス・トイレ別　 収納スペース　 ガスコンロ設置可　,,事務所使用可能です！天神へ自転車で１０分圏内！,専任媒介,,"
"
2,99180879,2022年12月05日,2022年12月19日,福岡市城南区長尾５丁目27-8  mapを見る,ダイナコートエグジス友泉  205,福岡市七隈線茶山駅 徒歩29分 駅までmap 福岡市七隈線六本松駅 徒歩33分 駅までmap 福岡市七隈線別府駅 徒歩34分 駅までmap 神松寺（西鉄バス） 1分,16.92㎡ / 約5.12坪,,1K,,,,,,無,,　,,,無,無,実費,無,,無,3000円,無,有 オリコフォレントインシュア（他、全保連・ジェイリースなど取り扱いあり）※契約者や条件によっては、内容が変更になる場合があります。,,有、800円、SBI日本少額短期保険（月払）（例）※契約者や条件によっては、内容が変更になる場合があります。,,,,,,1年,,巡回,,ＲＣ,,,地上5階建,2階部分,1990[H2]年3月,空家,即時　,エアコン　 給湯　 トイレ　 バス・トイレ同　 シャワー　 収納スペース　 ＩＨクッキングヒーター　 洗面台　 フローリング　 駐輪場　 オール電化　 全居室フローリング　,ペット不可　 日当り良好　 分譲タイプ　 高齢者相談　 住宅確保要配慮者の入居応相談　 保証人不要　,"現況優先シード24:880円（月額） 火災保険料:800円（単身）　鍵交換代:1万6,500円（税込み）事務手数料:1万1,000円（税込み）更新事務手数料　6600円（税込み）退去時クリーニング代 1ヶ月分",代理,,"
										TEL：092-791-7250
"
3.5,98882822,2022年12月05日,2022年12月19日,福岡市東区唐原１丁目19-27  mapを見る,ヴィクトワール唐原  102,鹿児島本線九産大前駅 徒歩9分 駅までmap 西日本鉄道貝塚線香椎花園前駅 徒歩9分 駅までmap 西日本鉄道貝塚線唐の原駅 徒歩9分 駅までmap ,壁芯21.6㎡ / 約6.53坪,,1K,Ｋ2.5／洋6.5, 南東,,福岡市立香住丘小学校　距離392ｍ,福岡市立香椎第2中学校　距離1082ｍ,空無　5500円,自走（平置きも含む）,　,,,無,2ヶ月,実費,無,,無,無,100円,有 ジェイリース※契約者や条件によっては、内容が変更になる場合があります。,入居時賃料の80％　学生は10000円,有、15000円、2年、日新火災保険（例）※契約者や条件によっては、内容が変更になる場合があります。,無,,,,,2年,,巡回,,木造,,,地上2階建,1階部分,2002[H14]年2月,空家,相談　,プロパンガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 収納スペース　 システムキッチン　 ロフト　 フローリング　 バルコニー　 駐輪場　 ２口コンロ　 インターネット使い放題　 インターネット対応　 光ファイバー　 ＣＡＴＶインターネット　 敷地内ゴミ置き場　,ペット不可　,九産大まで徒歩10分圏内JCOMネット120Ｍ WiFi無料,専任媒介,,"
"
7.8,99317862,2022年12月06日,2022年12月20日,福岡市中央区大手門３丁目4-15  mapを見る,Modern　Palazzo大濠公園Ⅱ  0303,福岡市空港線大濠公園駅 徒歩2分 荒戸1丁目バス停 徒歩2分 駅までmap ,31.16㎡ / 約9.43坪,,1LDK,LDK9・洋3.1, 北,,舞鶴小学校　距離1200ｍ,舞鶴中学校　距離1200ｍ,空有　4万4000円,,　,,,無,無,,無,,7000円,,無,有 保証会社利用必須※契約者や条件によっては、内容が変更になる場合があります。,,有、20000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,20000円 ,鍵交換代（入居時）：2万2000円クリーニング費（入居時）：3万3000円,,町費：300円 / 月住まいの安心窓口：880円 / 月,,2年,,,,ＲＣ,,,地上12階建,3階部分,2018[H30]年12月,居住中,相談　,プロパンガス　 電気　 上水道　 エアコン　 給湯　 追焚機能　 バス・トイレ別　 温水洗浄便座　 ＢＳ端子　 ＣＳ　 カウンターキッチン　 洗面台　 シャンプードレッサー　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 独立洗面脱衣所　 防犯カメラ　,ペット相談可　,インターネット月額利用料無料!　エレベータ、オートロック!対面キッチン、ガスコンロ設置可、シャワードレッサー、TVインターホン、室内洗濯機置場、エアコン、クローゼット、バス・トイレ別! [その他設備] シャワー、ガスコンロ可、クローゼット、24時間緊急対応 / ■インターネット月額利用料無料(UCOM光)■契約時クリーニング費:33000円(税込)■ペット飼育相談可能(小型犬または猫のいずれか1匹まで)■駐輪場利用の場合:月額550円(税込),専任媒介,,"
"
5.9,99312901,2022年12月05日,2022年12月19日,福岡市城南区東油山１丁目8-未定  mapを見る,仮称 プレステージ城南区東油山  405,油山団地口バス停 徒歩1分 ,31.39㎡ / 約9.50坪,,1LDK,ＬＤＫ8.7／洋3.9, 東,,,,空有　7700円,自走（平置きも含む）,　,,,無,無,実費,無,,無,4000円,無,有 スマート保証※契約者や条件によっては、内容が変更になる場合があります。,,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,,,,トーマスclub：880円 / 月,,2年,,,,ＲＣ,,,地上5階建,4階部分,2023[R5]年2月（新築）,未完成,予定　2023年2月下旬,プロパンガス　 冷房　 暖房　 エアコン　 給湯　 追焚機能　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ウォークインクローゼット　 システムキッチン　 洗面台　 室内洗濯機置場　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 ２口コンロ　 インターネット使い放題　 独立洗面脱衣所　 防犯カメラ　 インターネット対応　 シューズボックス　 敷地内ゴミ置き場　,ペット相談可　 小型犬可　 猫可　 角部屋　,■ペット飼育条件■・礼金１ヶ月追加・小型犬もしくは猫1匹のみ・飼養細則・誓約書内容を遵守できる方のみ・無断飼育発覚時は無断飼育違約金として賃料1ヶ月分(破損汚損等の補修費別途実費)■短期解約違約金■12ヶ月未満は賃料2ヶ月・24ヶ月未満は賃料1ヶ月■注意事項■・町費未定・入居開始日や内装仕様など工事内容の変更に伴い、事前告知なく変更が生じる場合がございます（R4.12.5 工事遅延に伴い、入居開始時期が2月上旬から下旬へ変更となりました）,代理,,"
"
1.7,99169221,2022年12月05日,2022年12月19日,福岡市西区下山門１丁目8-23  mapを見る,ベルシオン21  106,筑肥線姪浜駅 徒歩13分 駅までmap 福岡市空港線姪浜駅 徒歩13分 駅までmap 筑肥線下山門駅 徒歩16分 駅までmap ,壁芯18㎡ / 約5.45坪,,1K,,,,福岡市立下山門小学校　距離1134ｍ,福岡市立下山門中学校　距離514ｍ,無,,　,,,無,無,実費,無,,無,2000円,無,有 全保連※契約者や条件によっては、内容が変更になる場合があります。,,有、火災保険（例）※契約者や条件によっては、内容が変更になる場合があります。,無,,,,,2年,,,,木造,,,地上2階建,1階部分,1985[S60]年1月,居住中,相談　（7月31日退去予定）,給湯　 トイレ　 バス・トイレ同　 シャワー　 収納スペース　,,,一般媒介,,"
"
