家賃,物件番号,情報更新日,次回更新予定日,所在地,建物名,沿線・駅・交通,専有面積,専用庭面積,間取り,間取り内訳,バルコニー,サービスルーム数,小学校区,中学校区,駐車場,駐車場：形式,駐車場：状況,駐車場備考,駐車場敷金,敷金,礼金,精算方式,保証金,保証金償却,管理費,共益費,雑費,家賃保証会社,家賃保証・保証費用等,保険,更新料,その他一時金,施設費用,その他費用,賃貸借区分,契約期間,特優賃区分,管理員の勤務形態,敷地延長,建物構造,建物工法,最適用途,階建,階,築年月,現況,入居可能時期,設備,特記事項,備考,取引態様,担当者,担当者連絡先,市区
2.0,99180879,2022年12月05日,2022年12月19日,福岡市城南区長尾５丁目27-8  mapを見る,ダイナコートエグジス友泉  205,福岡市七隈線茶山駅 徒歩29分 駅までmap 福岡市七隈線六本松駅 徒歩33分 駅までmap 福岡市七隈線別府駅 徒歩34分 駅までmap 神松寺（西鉄バス） 1分,16.92㎡ / 約5.12坪,nan,1K,nan,nan,nan,nan,nan,無,nan,　,nan,nan,無,無,実費,無,nan,無,3000円,無,有 オリコフォレントインシュア（他、全保連・ジェイリースなど取り扱いあり）※契約者や条件によっては、内容が変更になる場合があります。,nan,有、800円、SBI日本少額短期保険（月払）（例）※契約者や条件によっては、内容が変更になる場合があります。,nan,nan,nan,nan,nan,1年,nan,巡回,nan,ＲＣ,nan,nan,地上5階建,2階部分,1990[H2]年3月,空家,即時　,エアコン　 給湯　 トイレ　 バス・トイレ同　 シャワー　 収納スペース　 ＩＨクッキングヒーター　 洗面台　 フローリング　 駐輪場　 オール電化　 全居室フローリング　,ペット不可　 日当り良好　 分譲タイプ　 高齢者相談　 住宅確保要配慮者の入居応相談　 保証人不要　,"現況優先シード24:880円（月額） 火災保険料:800円（単身）　鍵交換代:1万6,500円（税込み）事務手数料:1万1,000円（税込み）更新事務手数料　6600円（税込み）退去時クリーニング代 1ヶ月分",代理,nan,"
										TEL：092-791-7250
",城南
5.9,99312901,2022年12月05日,2022年12月19日,福岡市城南区東油山１丁目8-未定  mapを見る,仮称 プレステージ城南区東油山  405,油山団地口バス停 徒歩1分 ,31.39㎡ / 約9.50坪,nan,1LDK,ＬＤＫ8.7／洋3.9, 東,nan,nan,nan,空有　7700円,自走（平置きも含む）,　,nan,nan,無,無,実費,無,nan,無,4000円,無,有 スマート保証※契約者や条件によっては、内容が変更になる場合があります。,nan,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,nan,nan,nan,トーマスclub：880円 / 月,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上5階建,4階部分,2023[R5]年2月（新築）,未完成,予定　2023年2月下旬,プロパンガス　 冷房　 暖房　 エアコン　 給湯　 追焚機能　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ウォークインクローゼット　 システムキッチン　 洗面台　 室内洗濯機置場　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 ２口コンロ　 インターネット使い放題　 独立洗面脱衣所　 防犯カメラ　 インターネット対応　 シューズボックス　 敷地内ゴミ置き場　,ペット相談可　 小型犬可　 猫可　 角部屋　,■ペット飼育条件■・礼金１ヶ月追加・小型犬もしくは猫1匹のみ・飼養細則・誓約書内容を遵守できる方のみ・無断飼育発覚時は無断飼育違約金として賃料1ヶ月分(破損汚損等の補修費別途実費)■短期解約違約金■12ヶ月未満は賃料2ヶ月・24ヶ月未満は賃料1ヶ月■注意事項■・町費未定・入居開始日や内装仕様など工事内容の変更に伴い、事前告知なく変更が生じる場合がございます（R4.12.5 工事遅延に伴い、入居開始時期が2月上旬から下旬へ変更となりました）,代理,nan,"
",城南
3.3,98333920,2022年12月05日,2022年12月19日,福岡市城南区別府１丁目５番２５号  mapを見る,エムⅡ  201,福岡市七隈線別府駅 徒歩4分 別府団地バス停 徒歩5分 駅までmap 福岡市七隈線六本松駅 徒歩8分 駅までmap ,16.86㎡ / 約5.10坪,nan,1K,Ｋ1.3／洋6, 南,nan,nan,nan,空有　1万1000円,nan,　,nan,nan,無,無,nan,無,nan,無,2000円,無,nan,nan,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,木造,nan,nan,地上3階建,2階部分,2001[H13]年3月,空家,相談　2022年11月26日,プロパンガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 温水洗浄便座　 ガスコンロ設置可　 洗面台　 洗濯機置場　 浴室乾燥機　 ロフト　 フローリング　 バルコニー　 ＴＶモニタ付きインターホン　 インターネット使い放題　,リノベーション　 南向き　,学生さんにもおすすめです☆駐車場の空きについては要確認,専任媒介,nan,"
",城南
2.0,99257768,2022年12月06日,2022年12月20日,福岡市城南区田島３丁目12-47  周辺mapを見る,サクセス平野 ,田島バス停 徒歩6分 ,25㎡ / 約7.56坪,nan,ワンルーム,洋 8,nan,nan,nan,nan,nan,nan,　,nan,nan,無,1ヶ月,nan,無,nan,無,3000円,300円,nan,nan,有、15000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,定期借家,2年,nan,巡回,nan,鉄骨造,nan,nan,地上2階建,2階部分,1994[H6]年9月,空家,即時　,都市ガス　 エアコン　 給湯　 トイレ　 バス・トイレ同　 シャワー　 収納スペース　 洗面台　 洗濯機置場　 室内洗濯機置場　 フローリング　,閑静住宅街　 角部屋　,閑静な住宅街です。南向きで日当たり良好です。室内洗濯機置き場あり。,専任媒介,米田貴久,"
										TEL：092-801-7007
",城南
2.1,99316316,2022年12月05日,2022年12月19日,福岡市城南区友丘１丁目7-20  mapを見る,ガーデンヒルズⅠ  207,福岡市七隈線茶山駅 徒歩16分 駅までmap 福岡市七隈線別府駅 徒歩23分 駅までmap 福岡市七隈線金山駅 徒歩16分 駅までmap ,壁芯25㎡ / 約7.56坪,nan,1DK,ＤＫ6／洋6,無,nan,福岡市立田島小学校　距離855ｍ,福岡市立友泉中学校　距離1019ｍ,無,nan,　,nan,nan,無,無,nan,無,nan,無,3000円,無,有 全保連※契約者や条件によっては、内容が変更になる場合があります。,nan,有、アーウィンサポートクラブに含む（例）※契約者や条件によっては、内容が変更になる場合があります。,旧賃料11000円 ,鍵交換代：1万6500円消毒代：1万4300円,nan,安心サポート：1700円 / 月口座振替手数料：330円 / 月水町費：3000円 / 月,nan,1年,nan,巡回,nan,木造,nan,nan,地上2階建,2階部分,1985[S60]年1月,空家,即時　,プロパンガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 収納スペース　 洗面台　 洗濯機置場　 室内洗濯機置場　 フローリング　 ＴＶモニタ付きインターホン　 駐輪場　 バイク置場(屋外）　 ２口コンロ　 インターネット対応　 ＣＡＴＶインターネット　 シューズボックス　 敷地内ゴミ置き場　,ペット不可　 日当り良好　 角部屋　,１DK.室内洗濯機置き場有二口ガスコンロ、TVモニターホン付き♪ドリームプラン利用可！（契約月フリーレント・消毒代・カギ交換代・初回保証料無料）間取りは現状優先となります。お問合せはアーウィン早良支店までお願いいたします。【空室のお問合せ】PM事業部早良支店　TEL092-852-1717　FAX092-823-3639,代理,清水,"
										TEL：092-852-1717
",城南
2.8,98384166,2022年12月05日,2022年12月19日,福岡市城南区友泉亭1-36  mapを見る,スペースイン21  301,福岡市七隈線茶山駅 徒歩18分 駅までmap ,25㎡ / 約7.56坪,nan,1K,洋7.5,nan,nan,nan,nan,空有　5500円,nan,　,※駐車場料金は税込金額,nan,無,無,nan,無,nan,4000円,nan,無,有 アシスト保証※契約者や条件によっては、内容が変更になる場合があります。,nan,有※契約者や条件によっては、内容が変更になる場合があります。,旧賃料22000円 ,退去時清掃代（税込）：5万5000円,nan,安心サポート：1500円 / 月水道代：2750円 / 月,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上5階建,3階部分,1986[S61]年3月,空家,即時　,プロパンガス　 冷房　 暖房　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 収納スペース　 ガスコンロ設置可　 洗濯機置場　 室内洗濯機置場　 フローリング　 宅配ボックス　 駐輪場　 インターネット使い放題　,ペット不可　 日当り良好　 閑静住宅街　 角部屋　 眺望良好　,"J-COMインターネット120メガ無料で、コンクリート打ちっぱなしの外壁がとてもお洒落な物件です！！当社の空室資料はこちらからダウンロードできます。 ＩＤ、ＰＡＳＳは直接ご連絡下さい！！ 【ゼロ不動産管理ホームページ】http://www.zerokanri.co.jp/trader/index.html【初期費用】 鍵交換代：19,800円/16,500円（税込） 消毒代(必須税込)：13,750円（単身）/19,800円（ファミリー） 保証会社：保証人有40％　無50％ 事務手数料：家賃3万以下/5,500円（税込）3万以上/13,200円（税込） 安心サポート：初回入会金5000円(簡易消火器付)月額1500円 ※安心サポートには24時間緊急サポートと家財保険が含まれます。",代理,nan,"
",城南
1.7,99045787,2022年12月06日,2022年12月20日,福岡市城南区田島２丁目19-16  周辺mapを見る,レジデンス田島ソフィー２１ ,福岡市七隈線別府駅 徒歩8分 別府６丁目バス停 徒歩5分 福岡市七隈線茶山駅 徒歩10分 ,19㎡ / 約5.75坪,nan,ワンルーム,洋 7.5,nan,nan,nan,nan,空有　7700円,nan,　,nan,nan,無,1ヶ月,nan,無,nan,無,2000円,300円,nan,nan,有、15000円、2年、火災（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,木造,nan,nan,地上2階建,1階部分,1990[H2]年1月,空家,即時　,プロパンガス　 エアコン　 給湯　 バス・トイレ同　 シャワー　 ＣＡＴＶ　 収納スペース　 ガスコンロ設置可　 フローリング　 バルコニー　,nan,閑静な住宅街です♪駐車場別契約　敷金２ヶ月／月額７，７００円,一般媒介,山下,"
										TEL：092-801-7007
",城南
5.5,97673292,2022年12月05日,2022年12月19日,福岡市城南区田島４丁目１１－５  mapを見る,第１田島ハイツ  102,福岡市七隈線茶山駅 徒歩10分 田島バス停 徒歩6分 駅までmap 福岡市七隈線別府駅 徒歩15分 駅までmap ,63.22㎡ / 約19.12坪,nan,2LDK,和6／和6／ＬＤＫ11.5, 西,nan,nan,nan,空有　5500円,nan,　,nan,nan,無,1ヶ月 / 5.5万円,nan,無,nan,無,3000円,無,nan,nan,有、20000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上4階建,1階部分,1982[S57]年8月,空家,相談　,都市ガス　 電気　 上水道　 シャワー　 ＣＡＴＶ　 室内洗濯機置場　 駐輪場　,二人入居可　,駐車場の空きについては要確認,専任媒介,nan,"
",城南
4.3,99298000,2022年12月05日,2022年12月19日,福岡市城南区長尾２丁目28-2  mapを見る,笹の台団地2棟  506,福岡市七隈線桜坂駅 徒歩34分 駅までmap 福岡市七隈線六本松駅 徒歩32分 駅までmap ,壁芯55.45㎡ / 約16.77坪,nan,3DK,nan, 8.3㎡,nan,nan,nan,空無,nan,　,nan,nan,1ヶ月 / 4.3万円,無,実費,無,nan,無,5000円,無,"有 ジェイリース（50%の場合、更新料10,000円/年）※契約者や条件によっては、内容が変更になる場合があります。",50%or80%,有、18000円、2年、住宅保障共済会（例）※契約者や条件によっては、内容が変更になる場合があります。,旧賃料16500円 ,鍵交換費用：2万7500円,nan,24時間安心サポート：880円 / 月,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上5階建,5階部分,1974[S49]年3月,空家,相談　,都市ガス　 給湯　 トイレ　 バス・トイレ別　 シャワー　 システムキッチン　 家電付き　 室内洗濯機置場　 フローリング　 ディンプルキー　 バルコニー　 駐輪場　 家具付き　 カーテン付　,ペット不可　 分譲タイプ　 最上階　,"★初期費用★・保険（２年）18,000円・要保証会社　ジェイリース→50%か80% 　※50％の場合、最低保証料20,000円、更新料10,000円/年　　 80％の場合、最低保証料25,000円・鍵交換費用　　27,500円・事務手数料　  11,000円(税込)★特約事項★短期解約違約金・・・2年未満解約　2ヵ月分　要 退去時クリーニング費用・・・・退去時家賃の1か月分お部屋の更新事務手数料 　2年毎15,000円（税別）※審査通過後のキャンセルは10,000円（税別）の事務手数料を請求申し上げます。",代理,nan,"
",城南
4.3,99316582,2022年12月05日,2022年12月19日,福岡市城南区鳥飼５丁目７－８  mapを見る,ヴィレッヂ別府  603,福岡市七隈線別府駅 徒歩6分 城南区役所北口バス停 徒歩1分 駅までmap 福岡市七隈線六本松駅 徒歩7分 駅までmap ,24.9㎡ / 約7.53坪,nan,1K,洋7, 南東,nan,nan,nan,空有　1万3200円,nan,　,nan,1万2000円,無,1ヶ月 / 4.3万円,nan,無,nan,無,4000円,無,nan,nan,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上8階建,6階部分,1999[H11]年1月,居住中,相談　,プロパンガス　 電気　 エアコン　 給湯　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 ＢＳ端子　 洗面台　 室内洗濯機置場　 浴室乾燥機　 フローリング　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 インターネット使い放題　 防犯カメラ　 家具付き　,nan,駐車場の空きについては要確認,専任媒介,nan,"
",城南
