家賃,物件番号,情報更新日,次回更新予定日,所在地,建物名,沿線・駅・交通,専有面積,専用庭面積,間取り,間取り内訳,バルコニー,サービスルーム数,小学校区,中学校区,駐車場,駐車場：形式,駐車場：状況,駐車場備考,駐車場敷金,敷金,礼金,精算方式,保証金,保証金償却,管理費,共益費,雑費,家賃保証会社,家賃保証・保証費用等,保険,更新料,その他一時金,施設費用,その他費用,賃貸借区分,契約期間,特優賃区分,管理員の勤務形態,敷地延長,建物構造,建物工法,最適用途,階建,階,築年月,現況,入居可能時期,設備,特記事項,備考,取引態様,担当者,担当者連絡先,市区
6.3,99298749,2022年12月05日,2022年12月19日,福岡市西区愛宕南１丁目9-31  mapを見る,ドミール姪浜 A棟 202,筑肥線姪浜駅 徒歩13分 駅までmap 福岡市空港線姪浜駅 徒歩13分 駅までmap 福岡市空港線室見駅 徒歩15分 駅までmap ,内法55.94㎡ / 約16.92坪,nan,2LDK,nan, 南西,nan,福岡市立姪浜小学校　距離1599ｍ,福岡市立内浜中学校　距離1206ｍ,空有　5500円,nan,　,nan,nan,無,2ヶ月,実費,無,nan,無,2000円,無,有 ジェイリース※契約者や条件によっては、内容が変更になる場合があります。,賃料総額の80％,有、20000円、2年、e-Net少額短期保険（例）※契約者や条件によっては、内容が変更になる場合があります。,nan,nan,nan,口座振替手数料：220円 / 月,nan,2年,nan,巡回,nan,鉄骨造,nan,nan,地上2階建,2階部分,1987[S62]年7月,空家,相談　,プロパンガス　 給湯　 トイレ　 バス・トイレ別　 温水洗浄便座　 ガスコンロ設置可　 洗面台　 室内洗濯機置場　 バルコニー　 ＴＶモニタ付きインターホン　 駐輪場　 独立洗面脱衣所　 ＣＡＴＶインターネット　 シューズボックス　 押入れ　,nan,鍵交換代が別途かかります。,代理,nan,"
",西
1.7,99169221,2022年12月05日,2022年12月19日,福岡市西区下山門１丁目8-23  mapを見る,ベルシオン21  106,筑肥線姪浜駅 徒歩13分 駅までmap 福岡市空港線姪浜駅 徒歩13分 駅までmap 筑肥線下山門駅 徒歩16分 駅までmap ,壁芯18㎡ / 約5.45坪,nan,1K,nan,nan,nan,福岡市立下山門小学校　距離1134ｍ,福岡市立下山門中学校　距離514ｍ,無,nan,　,nan,nan,無,無,実費,無,nan,無,2000円,無,有 全保連※契約者や条件によっては、内容が変更になる場合があります。,nan,有、火災保険（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,木造,nan,nan,地上2階建,1階部分,1985[S60]年1月,居住中,相談　（7月31日退去予定）,給湯　 トイレ　 バス・トイレ同　 シャワー　 収納スペース　,nan,nan,一般媒介,nan,"
",西
5.2,99303806,2022年12月05日,2022年12月19日,福岡市西区姪の浜６丁目１－３８  mapを見る,セレーノ姪浜  504,福岡市空港線姪浜駅 徒歩8分 駅までmap 筑肥線下山門駅 徒歩23分 駅までmap 福岡市空港線室見駅 徒歩25分 駅までmap ,24.96㎡ / 約7.55坪,nan,1K,洋6.6, 西,nan,nan,nan,空有　1万2100円,nan,　,nan,1万1000円,無,1ヶ月 / 5.2万円,nan,無,nan,無,5000円,無,nan,nan,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上10階建,5階部分,2006[H18]年3月,空家,相談　,プロパンガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 システムキッチン　 シャンプードレッサー　 室内洗濯機置場　 浴室乾燥機　 フローリング　 照明器具付き　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 駐輪場　 ２口コンロ　 インターネット使い放題　 独立洗面脱衣所　 防犯カメラ　,nan,ＴＶモニタ付きのインターフォンでセキュリティも安心。シャンプードレッサーがあるので毎朝の準備もスムーズです。駐輪場付き物件。嬉しいシャワートイレ付き。バストイレ別で生活しやすい間取り。浴室乾燥付き。駐車場の空きについては要確認,専任媒介,nan,"
",西
6.3,99290525,2022年12月05日,2022年12月19日,福岡市西区姪の浜６丁目１－３８  mapを見る,セレーノ姪浜  601,福岡市空港線姪浜駅 徒歩8分 駅までmap 筑肥線下山門駅 徒歩23分 駅までmap 福岡市空港線室見駅 徒歩25分 駅までmap ,32.76㎡ / 約9.91坪,nan,1DK,ＤＫ6.6／洋6, 西,nan,nan,nan,空有　1万2100円,nan,　,nan,1万1000円,無,1ヶ月 / 6.3万円,nan,無,nan,無,5000円,無,nan,nan,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上10階建,6階部分,2006[H18]年3月,空家,相談　2022年11月22日,プロパンガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 システムキッチン　 シャンプードレッサー　 室内洗濯機置場　 浴室乾燥機　 フローリング　 照明器具付き　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 駐輪場　 出窓　 ２口コンロ　 インターネット使い放題　 独立洗面脱衣所　 防犯カメラ　,nan,駐輪場もあります。TVモニタ付インターフォン有で防犯面も安心です。嬉しいエアコン付き。朝の身支度に嬉しいシャンプードレッサー付き。洗濯物やお布団を干すスペースも充分にとれますね。エレベーター付き物件。駐車場の空きについては要確認,専任媒介,nan,"
",西
1.5,99259677,2022年12月05日,2022年12月19日,福岡市西区内浜２丁目2-4  mapを見る,パークサイドコーポ朝野（トモノ）  202,福岡市空港線姪浜駅 徒歩5分 駅までmap ,20㎡ / 約6.05坪,nan,1K,和6／Ｋ3.5, 東,nan,福岡市立内浜小学校　距離602ｍ,福岡市立内浜中学校　距離395ｍ,無,nan,　,nan,nan,無,無,実費,無,nan,無,2000円,無,有 ジェイリース（＊保証会社収納代行必須 ＊各プラン月額400円）※契約者や条件によっては、内容が変更になる場合があります。,"最低保証料2.5万円（更新料あり1万円） 又は家賃総額5080％（更新料なし）学生1万円（更新料なし） ＊最低保証料25,000円",有※契約者や条件によっては、内容が変更になる場合があります。,旧賃料16500円 ,nan,nan,町費：300円 / 月くらシード24M：800円 / 月火災保険料：800円 / 月,定期借家,2年,nan,nan,nan,木造,nan,nan,地上2階建,2階部分,1984[S59]年1月,空家,相談　,プロパンガス　 給湯　 トイレ　 バス・トイレ同　 シャワー　 ＣＡＴＶ　 収納スペース　 ガスコンロ設置可　 バルコニー　 火災報知機　 浴室に窓　 和室有　,ペット不可　 日当り良好　 閑静住宅街　 最上階　 眺望良好　,"□契約内容□・契約開始日より12ヶ月未満での解約は家賃2ヶ月分、　24ヶ月未満での解約は家賃1ヶ月分を申し受けます。・退去時ハウスクリーニング代として33,000円(内消費税3,000円）+故意過失による損傷損耗は実費。・消毒代: 16,500円(内消費税1,500円) ・事務手数料: 5,500円(内消費税500円)　・鍵交換料: 16,500円(内消費税1,500円) ・保証会社: 加入要（ジェイリース）　家賃総額50％（更新料あり1万円）又は80％（更新料なし）学生1万円（更新料なし）　＊最低保証料25,000円 ＊保証会社収納代行必須＊各プラン月額400円（引落手数料も含まれます。）・解約予告: 1ヶ月前・連帯保証人様の極度額は賃料・共益費を合算した36ヵ月分となります。・再契約時の契約手数料16,500円(内消費税1,500円）業者様空室募集専用サイト　⇒　https://inet.bukkaku.jp/営業時間10：00～18：00店休日　日曜日　（年末年始・GW・お盆　はお休みします）",代理,荒谷,"
										TEL：092-737-7051
										メールアドレス：kanri@inet-hre.com
",西
3.6,99096401,2022年12月05日,2022年12月19日,福岡市西区生の松原２丁目1-55  mapを見る,ポラリス下山門Ⅴ  203,筑肥線下山門駅 徒歩5分 駅までmap ,壁芯21.61㎡ / 約6.54坪,nan,1K,洋7.4,nan,nan,nan,nan,空無,nan,　,nan,nan,無,無,実費,無,nan,無,2500円,無,有（アシスト保証）※契約者や条件によっては、内容が変更になる場合があります。,nan,有※契約者や条件によっては、内容が変更になる場合があります。,旧賃料22000円 ,安心サポート入会金：5000円鍵交換代：1万9800円退去時清掃代：5万5000円,nan,安心サポート：1500円 / 月町費：400円 / 月,nan,2年,nan,巡回,nan,木造,nan,nan,地上2階建,2階部分,2002[H14]年3月,空家,即時　,プロパンガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 収納スペース　 ガスコンロ設置可　 室内洗濯機置場　 ロフト　 バルコニー　 ＴＶモニタ付きインターホン　 インターネット使い放題　 敷地内ゴミ置き場　,ペット不可　 フリーレント　 事務所使用可　,"光（NTT）ネット無料！！当社の空室資料はこちらからダウンロードできます。ＩＤ、ＰＡＳＳは直接ご連絡下さい！！【ゼロ不動産管理ホームページ】http://www.zerokanri.co.jp/trader/index.html鍵交換代：19,800円  16,500円 ※物件により異なります。消毒代：13,750円 19,800 ※間取りで異なります。保証会社：保証人有40％ ※月額賃料50,000未満の場合 最低保証料 20,000　保証人無50％ ※月額賃料50,000未満の場合 最低保証料 25,000事務手数料：13,200円安心サポート：初回入会金5,000円　　月額1,500円 月額1.800 ※間取りで変更あり※安心サポートには24時間緊急サポートと家財保険が含まれます。",代理,nan,"
",西
2.1,99268660,2022年12月05日,2022年12月19日,福岡市西区姪の浜４丁目17-4  mapを見る,ローラン姪浜Ⅱ  502,筑肥線姪浜駅 徒歩6分 駅までmap 福岡市空港線姪浜駅 徒歩6分 駅までmap 福岡市空港線室見駅 徒歩23分 駅までmap ,壁芯12.04㎡ / 約3.64坪,nan,ワンルーム,nan,nan,nan,福岡市立内浜小学校　距離328ｍ,福岡市立内浜中学校　距離1056ｍ,空無,nan,　,nan,nan,無,無,nan,無,nan,5000円,無,無,有 アーク※契約者や条件によっては、内容が変更になる場合があります。,nan,有※契約者や条件によっては、内容が変更になる場合があります。,旧賃料11000円 ,nan,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上5階建,5階部分,1985[S60]年9月,空家,即時　,都市ガス　 エアコン　 トイレ　 シャワー　 ＣＡＴＶ　 ＢＳ端子　 収納スペース　 システムキッチン　 フローリング　 バルコニー　 オートロック　 全居室フローリング　,最上階　,nan,一般媒介,翁長　平日9～19時,"
										TEL：080-6144-2740
",西
6.7,98554977,2022年12月05日,2022年12月19日,福岡市西区姪の浜６丁目１１－３２  mapを見る,コンフォートベネフィス姪浜アリア  205,福岡市空港線姪浜駅 徒歩9分 姪浜（折返し場）バス停 徒歩7分 駅までmap 福岡市空港線室見駅 徒歩25分 駅までmap ,32.09㎡ / 約9.71坪,nan,1LDK,nan, 東,nan,nan,nan,空有　6600円,nan,　,nan,nan,無,1ヶ月 / 6.7万円,nan,無,nan,無,3400円,無,nan,nan,有、20000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,木造,nan,nan,地上2階建,2階部分,2013[H25]年4月,居住中,相談　,プロパンガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 システムキッチン　 シャンプードレッサー　 室内洗濯機置場　 ロフト　 フローリング　 バルコニー　 オートロック　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 ２口コンロ　 インターネット使い放題　 独立洗面脱衣所　 防犯カメラ　,デザイナーズ　,閑静な姪の浜６丁目のデザイナーズアパート！1人でも2人でも広々と使える、最新鋭の設備物件です！オートロックも使えて、ネットも無料です！駐車場の空きについては要確認,専任媒介,nan,"
",西
6.6,99302447,2022年12月05日,2022年12月19日,福岡市西区姪の浜６丁目5-27  mapを見る,La Felice 姪浜  302,筑肥線姪浜駅 徒歩12分 駅までmap 福岡市空港線姪浜駅 徒歩12分 駅までmap 筑肥線下山門駅 徒歩20分 駅までmap ,内法35.54㎡ / 約10.75坪,nan,1LDK,ＬＤＫ10.1／洋3.8,nan,nan,nan,nan,無,nan,　,nan,nan,無,1ヶ月,実費,無,nan,無,3000円,無,有 アップフォワード※契約者や条件によっては、内容が変更になる場合があります。,初回保証料60%,有、18000円、2年、日本共済（例）※契約者や条件によっては、内容が変更になる場合があります。,旧賃料22000円 ,鍵交換代：2万2000円,nan,２４時間サポート：660円 / 月町費：350円 / 月,nan,2年,nan,巡回,nan,木造,nan,nan,地上3階建,3階部分,2022[R4]年2月,空家,相談　（内装後）,プロパンガス　 エアコン　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＣＡＴＶ　 ＢＳ端子　 収納スペース　 ウォークインクローゼット　 システムキッチン　 室内洗濯機置場　 浴室乾燥機　 フローリング　 バルコニー　 オートロック　 ＴＶモニタ付きインターホン　 インターネット使い放題　 独立洗面脱衣所　 全居室フローリング　 インターネット対応　,角部屋　 最上階　,"※物件のお問い合わせは下記担当者携帯までご連絡下さい。FAX番号:(092)707-7099入居時消毒代16,500円（税込）退去時クリーニング代　49,500円（税込）短期解約違約金　1年未満1ヶ月",貸主,松森,"
										TEL：080-8592-6749
",西
7.2,99234662,2022年12月05日,2022年12月19日,福岡市西区姪の浜５丁目２１－４  mapを見る,グリーンハイム柴田  307,福岡市空港線姪浜駅 徒歩7分 駅までmap 福岡市空港線室見駅 徒歩27分 駅までmap 福岡市七隈線橋本駅 徒歩49分 駅までmap ,65㎡ / 約19.66坪,nan,3LDK,ＬＤＫ11.4／和6／和6／洋5, 東,nan,nan,nan,空無,nan,　,nan,nan,無,2ヶ月 / 14.4万円,nan,無,nan,無,2000円,無,nan,nan,有、22000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上4階建,3階部分,1988[S63]年3月,空家,相談　,都市ガス　 電気　 上水道　 下水道　 給湯　 トイレ　 バス・トイレ別　 シャワー　 ガスコンロ設置可　 室内洗濯機置場　 バルコニー　 ＴＶモニタ付きインターホン　 駐輪場　 独立洗面脱衣所　,nan,【姪の浜５丁目】の3ＬＤＫ！駅チカのファミリー物件です！気になる方は【スマイルプラザ姪浜駅北口店】までお問い合わせください♪駐車場の空きについては要確認,専任媒介,nan,"
",西
