家賃,物件番号,情報更新日,次回更新予定日,所在地,建物名,沿線・駅・交通,専有面積,専用庭面積,間取り,間取り内訳,バルコニー,サービスルーム数,小学校区,中学校区,駐車場,駐車場：形式,駐車場：状況,駐車場備考,駐車場敷金,敷金,礼金,精算方式,保証金,保証金償却,管理費,共益費,雑費,家賃保証会社,家賃保証・保証費用等,保険,更新料,その他一時金,施設費用,その他費用,賃貸借区分,契約期間,特優賃区分,管理員の勤務形態,敷地延長,建物構造,建物工法,最適用途,階建,階,築年月,現況,入居可能時期,設備,特記事項,備考,取引態様,担当者,担当者連絡先,市区
4.0,98223721,2022年12月06日,2022年12月20日,福岡市中央区舞鶴１丁目９－３  mapを見る,朝日プラザ天神  611,福岡市空港線天神駅 徒歩4分 舞鶴１丁目バス停 徒歩2分 駅までmap 西鉄天神大牟田線西鉄福岡（天神）駅 徒歩8分 駅までmap ,20.99㎡ / 約6.35坪,nan,ワンルーム,洋7.5, 西,nan,nan,nan,無,nan,　,nan,nan,無,1ヶ月 / 4万円,nan,無,nan,無,無,無,nan,nan,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＳＲＣ,nan,nan,地上13階建,6階部分,1986[S61]年5月,空家,相談　2022年9月27日,都市ガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ同　 シャワー　 ＣＡＴＶ　 洗面台　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 駐輪場　 防犯カメラ　,分譲タイプ　,近くにコンビニ・スーパーがあり、好立地です。,専任媒介,nan,"
",中央
4.0,99279373,2022年12月05日,2022年12月11日,福岡市中央区地行４丁目8-12  mapを見る,ヌメルスⅡ  101,福岡市空港線唐人町駅 徒歩6分 駅までmap ,壁芯21.96㎡ / 約6.64坪,nan,1K,洋7.6／Ｋ2, 南東,nan,nan,nan,無,nan,　,nan,nan,無,1ヶ月,nan,無,nan,無,nan,無,有 リーガル保証※契約者や条件によっては、内容が変更になる場合があります。,nan,有※契約者や条件によっては、内容が変更になる場合があります。,無,ルームケアプラス：3万8500円鍵交換代：1万9800円,nan,町費：250円 / 月プラスライフ24：990円 / 月浄水器リース代：1100円 / 月,nan,1年,nan,nan,nan,鉄骨造,nan,nan,地上2階建,1階部分,2001[H13]年3月,空家,相談　,都市ガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 収納スペース　 システムキッチン　 洗面所　 洗面台　 洗濯機置場　 室内洗濯機置場　 浴室乾燥機　 フローリング　 ２口コンロ　 独立洗面脱衣所　,ペット不可　 日当り良好　 閑静住宅街　 角部屋　 高齢者相談　,nan,専任媒介,nan,"
",中央
7.8,99317862,2022年12月06日,2022年12月20日,福岡市中央区大手門３丁目4-15  mapを見る,Modern　Palazzo大濠公園Ⅱ  0303,福岡市空港線大濠公園駅 徒歩2分 荒戸1丁目バス停 徒歩2分 駅までmap ,31.16㎡ / 約9.43坪,nan,1LDK,LDK9・洋3.1, 北,nan,舞鶴小学校　距離1200ｍ,舞鶴中学校　距離1200ｍ,空有　4万4000円,nan,　,nan,nan,無,無,nan,無,nan,7000円,nan,無,有 保証会社利用必須※契約者や条件によっては、内容が変更になる場合があります。,nan,有、20000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,20000円 ,鍵交換代（入居時）：2万2000円クリーニング費（入居時）：3万3000円,nan,町費：300円 / 月住まいの安心窓口：880円 / 月,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上12階建,3階部分,2018[H30]年12月,居住中,相談　,プロパンガス　 電気　 上水道　 エアコン　 給湯　 追焚機能　 バス・トイレ別　 温水洗浄便座　 ＢＳ端子　 ＣＳ　 カウンターキッチン　 洗面台　 シャンプードレッサー　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 独立洗面脱衣所　 防犯カメラ　,ペット相談可　,インターネット月額利用料無料!　エレベータ、オートロック!対面キッチン、ガスコンロ設置可、シャワードレッサー、TVインターホン、室内洗濯機置場、エアコン、クローゼット、バス・トイレ別! [その他設備] シャワー、ガスコンロ可、クローゼット、24時間緊急対応 / ■インターネット月額利用料無料(UCOM光)■契約時クリーニング費:33000円(税込)■ペット飼育相談可能(小型犬または猫のいずれか1匹まで)■駐輪場利用の場合:月額550円(税込),専任媒介,nan,"
",中央
4.0,99260963,2022年12月05日,2022年12月19日,福岡市中央区高砂２丁目6-20  mapを見る,高砂コーポ  203,西鉄天神大牟田線西鉄平尾駅 徒歩11分 駅までmap 福岡市七隈線渡辺通駅 徒歩12分 駅までmap 福岡市七隈線薬院駅 徒歩13分 駅までmap ,内法18㎡ / 約5.45坪,nan,1DK,洋4,nan,nan,nan,nan,無,nan,　,nan,nan,無,1ヶ月,nan,無,nan,無,無,3000円,有 日本セーフティー株式会社※契約者や条件によっては、内容が変更になる場合があります。,50％（保証人あり）,有、20170円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,巡回,nan,ＳＲＣ,nan,nan,地上5階建,2階部分,1980[S55]年5月,空家,即時　,都市ガス　 エアコン　 給湯　 バス・トイレ別　 フローリング　 バルコニー　,二人入居可　 日当り良好　 角部屋　 事務所使用可　 高齢者相談　 住宅確保要配慮者の入居応相談　 保証人不要　,nan,一般媒介,nan,"
",中央
2.8,99297288,2022年12月05日,2022年12月19日,福岡市中央区薬院３丁目13-26  mapを見る,コーポ平田  202,福岡市七隈線薬院大通駅 徒歩3分 駅までmap 西鉄天神大牟田線薬院駅 徒歩7分 駅までmap 福岡市七隈線薬院駅 徒歩6分 駅までmap ,壁芯14.5㎡ / 約4.39坪,nan,ワンルーム,洋6,無,nan,nan,nan,無,nan,　,nan,nan,無,無,実費,無,nan,無,無,3880円,有 日本セーフティー※契約者や条件によっては、内容が変更になる場合があります。,nan,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,nan,nan,nan,nan,nan,2年,nan,巡回,nan,鉄骨造,nan,nan,地上4階建,2階部分,1980[S55]年3月,空家,相談　,プロパンガス　 トイレ　 バス・トイレ同　 シャワー　 収納スペース　,nan,nan,代理,nan,"
",中央
5.9,99281754,2022年12月05日,2022年12月19日,福岡市中央区平尾１丁目13-12  mapを見る,セントフォーラム平尾  304,福岡市七隈線薬院駅 徒歩7分 駅までmap 西鉄天神大牟田線薬院駅 徒歩8分 駅までmap 福岡市七隈線薬院大通駅 徒歩10分 駅までmap ,壁芯35.23㎡ / 約10.66坪,nan,1DK,ＤＫ6.7／洋8.4,無 南東,nan,nan,nan,空有　1万7600円,機械,　,nan,2ヶ月 3万2000円,1ヶ月 / 5.9万円,2ヶ月 / 11.8万円,実費,無,nan,無,5000円,無,有 全保連※契約者や条件によっては、内容が変更になる場合があります。,初回契約時：50％、更新時：10000円,有※契約者や条件によっては、内容が変更になる場合があります。,無,鍵交換代：1万5950円,nan,水町費（1人入居）：3000円 / 月水町費（2人入居）：4000円 / 月,nan,2年,nan,nan,nan,ＳＲＣ,nan,nan,地上13階建,3階部分,1998[H10]年2月,空家,相談　,都市ガス　 エアコン　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＢＳ端子　 ＣＳ　 洗面所　 シャンプードレッサー　 洗濯機置場　 室内洗濯機置場　 エレベーター　 オートロック　 宅配ボックス　 駐輪場　 防犯カメラ　 防犯セキュリティ　 光ファイバー　 シューズボックス　 敷地内ゴミ置き場　,ペット不可　 閑静住宅街　 外観タイル張り　,"住　居：住宅総合保険加入／実費精算／大型バイク駐輪不可／水町費：1名の場合月額3,000円／2名の場合月額4,000円／入居時鍵交換代：15,950円(税込)／入居時清掃代：38,500円(税込)／1年未満の退居時、違約金家賃の1ヶ月分　駐車場：敷金2ヶ月／ネームプレート3,300円(税込)／機械式 屋根有・無：17,600円(税込)",専任媒介,nan,"
",中央
7.6,97629116,2022年12月06日,2022年12月20日,福岡市中央区赤坂１丁目１５－１５  mapを見る,平和台ハイツ  608,福岡市空港線赤坂駅 徒歩4分 平和台通りバス停 徒歩3分 駅までmap 福岡市空港線大濠公園駅 徒歩10分 駅までmap ,46.2㎡ / 約13.98坪,nan,1LDK,洋7／ＬＤＫ12.1, 南,nan,nan,nan,空無,nan,　,nan,nan,無,1ヶ月 / 7.6万円,nan,無,nan,無,3000円,無,nan,nan,有、20000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上9階建,6階部分,1978[S53]年5月,空家,相談　2022年9月26日,都市ガス　 電気　 上水道　 下水道　 エアコン　 シャワー　 ＣＡＴＶ　 室内洗濯機置場　 フローリング　 エレベーター　 駐輪場　,南向き　,地下鉄空港線赤坂駅徒歩4分の立地です！大通りから１歩入ったところにあるのでとても静かな環境で過ごせますよ！全戸南向きです！駐車場の空きについては要確認,専任媒介,nan,"
",中央
4.0,99011265,2022年12月05日,2022年12月19日,福岡市中央区春吉２丁目18-4  mapを見る,ピュアドーム天神アクロス  607,福岡市七隈線渡辺通駅 徒歩4分 駅までmap ,17.08㎡ / 約5.17坪,nan,1K,nan, 1.5㎡,nan,nan,nan,無,nan,　,nan,nan,無,無,nan,無,nan,無,3000円,無,有 確認ください（全保連：月額合計100％ジェイリース：月額合計80％日本セーフティ：月額合計80％～100％）※契約者や条件によっては、内容が変更になる場合があります。,nan,有、17000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,鍵交換代：1万6500円,nan,共益費：3000円 / 月シード24：840円 / 月口座振替手数料：400円 / 月,nan,1年,nan,巡回,nan,ＳＲＣ,nan,nan,地上10階建,6階部分,1993[H5]年4月,居住中,相談　,エアコン　 給湯　 トイレ　 バス・トイレ別　 ＢＳ端子　 収納スペース　 ＩＨクッキングヒーター　 洗濯機置場　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 オートロック　 オール電化　,nan,退去時クリーニング：40000円,代理,nan,"
",中央
5.6,99137429,2022年12月05日,2022年12月19日,福岡市中央区清川２丁目６－３  mapを見る,ビバーチェ南天神  903,福岡市七隈線渡辺通駅 徒歩8分 駅までmap 福岡市七隈線薬院駅 徒歩12分 駅までmap 西鉄天神大牟田線薬院駅 徒歩12分 駅までmap ,24.3㎡ / 約7.35坪,nan,1K,Ｋ1.7／洋6.5, 北西,nan,nan,nan,空無,nan,　,nan,nan,無,無,nan,無,nan,無,5000円,無,nan,nan,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上10階建,9階部分,2009[H21]年3月,居住中,相談　,プロパンガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＣＡＴＶ　 システムキッチン　 シャンプードレッサー　 室内洗濯機置場　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 駐輪場　 ２口コンロ　 独立洗面脱衣所　 防犯カメラ　,nan,天神、博多へのアクセスも良く、通勤通学に非常に便利です。ぜひご覧ください。駐車場の空きについては要確認,専任媒介,nan,"
",中央
5.4,98958921,2022年12月06日,2022年12月20日,福岡市中央区今川１丁目１－１  mapを見る,Ｗｅａｌｔｈ２１．Ｙａｏｊｉ  504,福岡市空港線唐人町駅 徒歩1分 唐人町バス停 徒歩2分 駅までmap 福岡市空港線大濠公園駅 徒歩10分 駅までmap ,24㎡ / 約7.26坪,nan,1K,nan, 東,nan,nan,nan,無,nan,　,nan,nan,無,1ヶ月 / 5.4万円,nan,無,nan,無,3000円,無,nan,nan,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＳＲＣ,nan,nan,地上9階建,5階部分,2000[H12]年3月,空家,相談　,都市ガス　 電気　 上水道　 下水道　 エアコン　 給湯　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 ＢＳ端子　 ＣＳ　 洗面台　 室内洗濯機置場　 フローリング　 エレベーター　 オートロック　 宅配ボックス　 駐輪場　 インターネット使い放題　 防犯カメラ　,nan,nan,専任媒介,nan,"
",中央
