家賃,物件番号,情報更新日,次回更新予定日,所在地,建物名,沿線・駅・交通,専有面積,専用庭面積,間取り,間取り内訳,バルコニー,サービスルーム数,小学校区,中学校区,駐車場,駐車場：形式,駐車場：状況,駐車場備考,駐車場敷金,敷金,礼金,精算方式,保証金,保証金償却,管理費,共益費,雑費,家賃保証会社,家賃保証・保証費用等,保険,更新料,その他一時金,施設費用,その他費用,賃貸借区分,契約期間,特優賃区分,管理員の勤務形態,敷地延長,建物構造,建物工法,最適用途,階建,階,築年月,現況,入居可能時期,設備,特記事項,備考,取引態様,担当者,担当者連絡先,市区
4.25,98370951,2022年12月05日,2022年12月19日,福岡市南区高宮４丁目５－２３  mapを見る,サンライズガーデン高宮弐番館  106,西鉄天神大牟田線高宮駅 徒歩9分 西鉄高宮駅バス停 徒歩7分 駅までmap 西鉄天神大牟田線西鉄平尾駅 徒歩17分 駅までmap ,20.05㎡ / 約6.07坪,nan,1K,洋7, 北東,nan,nan,nan,空有　1万1000円,nan,　,nan,nan,無,1ヶ月 / 4.25万円,nan,無,nan,無,2500円,無,nan,nan,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,木造,nan,nan,地上2階建,1階部分,2005[H17]年4月,空家,相談　,プロパンガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 洗面台　 室内洗濯機置場　 ロフト　 フローリング　 バルコニー　 オートロック　 駐輪場　 ２口コンロ　 インターネット使い放題　 防犯カメラ　 シャッター(雨戸）　,nan,西鉄大牟田線「高宮駅」まで徒歩９分の立地です！ロフト付なのでお荷物の多い方にオススメです♪駐車場の空きについては要確認,専任媒介,nan,"
",南
3.0,99315074,2022年12月06日,2022年12月20日,福岡市南区井尻５丁目20-36  mapを見る,エレガンテ井尻  203,西鉄天神大牟田線井尻駅 徒歩6分 駅までmap 鹿児島本線笹原駅 徒歩12分 駅までmap 西鉄天神大牟田線大橋駅 徒歩21分 駅までmap ,20㎡ / 約6.05坪,nan,1K,洋 6,nan,nan,nan,nan,nan,nan,　,nan,nan,無,無,nan,無,nan,3000円,無,無,有 フォーシーズ・全保連※契約者や条件によっては、内容が変更になる場合があります。,nan,有、2年※契約者や条件によっては、内容が変更になる場合があります。,5500円 ,nan,nan,２４時間サポート：880円 / 月専用家財保険（最低月額７７０円～）：740円 / 月町費：300円 / 月,nan,1年,nan,nan,nan,木造,nan,nan,地上2階建,1階部分,2001[H13]年3月,空家,相談　,プロパンガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 ガスコンロ設置可　 洗濯機置場　 ロフト　 フローリング　 バルコニー　 出窓　,角部屋　 最上階　,写真は別部屋　現状優先,一般媒介,nan,"
",南
6.6,99252802,2022年12月06日,2022年12月20日,福岡市南区大橋２丁目19-10  mapを見る,アルファレガロ大橋  1103,西鉄天神大牟田線大橋駅 徒歩6分 駅までmap 西鉄天神大牟田線高宮駅 徒歩24分 駅までmap 西鉄天神大牟田線井尻駅 徒歩20分 駅までmap 西鉄大橋駅（西鉄バス）徒歩6分,25.07㎡ / 約7.58坪,nan,1K,洋7, 東,nan,nan,nan,空有　1万5000円,nan,　,nan,nan,1ヶ月,1ヶ月,nan,無,nan,5000円,nan,無,nan,nan,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,抗菌処理費：1万4000円,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上12階建,11階部分,2022[R4]年7月（新築）,空家,相談　,都市ガス　 エアコン　 追焚機能　 バス・トイレ別　 ＢＳ端子　 ＣＳ　 ＩＨクッキングヒーター　 洗面所　 洗面台　 室内洗濯機置場　 浴室乾燥機　 フローリング　 バルコニー　 エレベーター　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 24時間換気システム　,日当り良好　,nan,貸主,nan,"
",南
4.7,99173131,2022年12月05日,2022年12月19日,福岡市南区老司３丁目16-11  mapを見る,松永ビル  401,鶴田団地バス停バス停 徒歩2分 ,55.52㎡ / 約16.79坪,nan,3DK,和6／和6／和4.5, 南西,nan,老司　距離900ｍ,老司　距離900ｍ,空有　7000円,nan,　,nan,nan,無,無,実費,無,nan,無,2000円,無,有 ジェイリース※契約者や条件によっては、内容が変更になる場合があります。,"60%(1年毎更新料10,000円)、100％(更新料なし)共に最低保証料25,000円、 学生プラン10,000円(更新料なし) 各プランとも400円/月（引落手数料含む）収納代行必須",有※契約者や条件によっては、内容が変更になる場合があります。,旧賃料22000円 ,nan,nan,くらしーど24Ｍ：800円 / 月火災保険料：1000円 / 月,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上5階建,4階部分,1977[S52]年1月,空家,相談　,プロパンガス　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＣＡＴＶ　 収納スペース　 ガスコンロ設置可　 洗面所　 洗面台　 シャンプードレッサー　 洗濯機置場　 室内洗濯機置場　 フローリング　 バルコニー　 駐輪場　 タンク式電気給湯器　 防犯カメラ　 シューズボックス　 敷地内ゴミ置き場　,ペット不可　 日当り良好　 角部屋　 フリーレント　 眺望良好　,"初期費用も安い！Ipac費用10,000円（当月保険料含む）のみが初期費用となります！※駐車場はIpac適用外ですのでご注意下さい。※連帯保証人様の債務極度額は賃料・共益費を合算した36ヵ月分となります。■通常初期費用■【鍵交換費用】16,500円（税込）【事務手数料】11,000円（税込）【保証会社】ジェイリース　　　　　　60%(1年毎更新料10,000円)、100％(更新料なし)共に最低保証料25,000円、　　　　　　学生プラン10,000円(更新料なし)各プランとも400円/月（引落手数料含む）収納代行必須　【契約期間】2年契約【更新手数料】2年毎の22,000円（税込）□契約内容□・1年未満の解約の場合、家賃の2ヶ月　1年以上2年未満の解約の場合、家賃の1ヵ月分の違約金がかかります。・退去時ハウスクリーニング代として家賃の1ヵ月分　故意・過失がある場合は別途実費精算　その他特約事項ありお気軽にお問い合わせください。空室募集専用サイト　⇒　https://inet.bukkaku.jp/営業時間10：00～18：00店休日　日曜日　（年末年始・GW・お盆　はお休みします）",代理,山本,"
										TEL：092-737-7051
										メールアドレス：kanri@inet-her.com
",南
6.7,99307520,2022年12月05日,2022年12月19日,福岡市南区平和４丁目1-2  mapを見る,こうのすコーポ  103,西鉄天神大牟田線西鉄平尾駅 徒歩26分 駅までmap 長丘二丁目第一バス停 徒歩1分 西鉄天神大牟田線高宮駅 徒歩27分 駅までmap ,86.49㎡ / 約26.16坪,47㎡,3LDK,ＬＤＫ12／洋10.5／洋6／和6,無,nan,福岡市立長丘小学校　距離550ｍ,福岡市立長丘中学校　距離694ｍ,近隣確保（50m）　9900円,自走（平置きも含む）,【 屋根状況　屋根なし 】　,nan,nan,無,1ヶ月,実費,無,nan,無,3000円,無,有 日本セーフティー※契約者や条件によっては、内容が変更になる場合があります。,"月額50％（保証人なし）または月額40％（保証人あり）、更新料10,000円/年または800円/月",有、19000円、2年、あそしあ少額短期保険（例）※契約者や条件によっては、内容が変更になる場合があります。,無,鍵交換代：1万6500円退去時清掃費用：6万7000円室内消毒代：1万2100円サポートコール24：1万6500円,nan,町内会費：3600円 / 年,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上5階建,1階部分,1978[S53]年5月,空家,相談　（12月中旬）,都市ガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 収納スペース　 システムキッチン　 シャンプードレッサー　 室内洗濯機置場　 フローリング　 テラス（14.03㎡）　 専用庭（47㎡）　 駐輪場　 バイク置場(屋外）　 浴室に窓　 和室有　 シューズボックス　 押入れ　 ３口コンロ以上　 敷地内ゴミ置き場　,ペット不可　 二人入居可　 日当り良好　 閑静住宅街　 分譲タイプ　 角部屋　 子供可　,月に1回、管理組合による敷地内掃除があり、入居者は可能な限り参加をお願いします。リビングのエアコン、照明器具、ソファーはサービス設置品です。撤去希望の場合はご相談ください。退去時清掃費用は、入居時のお支払いです。,代理,nan,"
										TEL：092-707-3909
",南
6.5,99252829,2022年12月06日,2022年12月20日,福岡市南区大橋２丁目19-10  mapを見る,アルファレガロ大橋  401,西鉄天神大牟田線大橋駅 徒歩6分 駅までmap 西鉄天神大牟田線高宮駅 徒歩24分 駅までmap 西鉄天神大牟田線井尻駅 徒歩20分 駅までmap 西鉄大橋駅（西鉄バス）徒歩6分,26.12㎡ / 約7.90坪,nan,1K,洋7, 東,nan,nan,nan,空有　1万5000円,nan,　,nan,nan,1ヶ月,1ヶ月,nan,無,nan,5000円,nan,無,nan,nan,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,抗菌処理費：1万4000円,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上12階建,4階部分,2022[R4]年7月（新築）,空家,相談　,都市ガス　 エアコン　 追焚機能　 バス・トイレ別　 ＢＳ端子　 ＣＳ　 ＩＨクッキングヒーター　 洗面所　 洗面台　 室内洗濯機置場　 浴室乾燥機　 フローリング　 バルコニー　 エレベーター　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 24時間換気システム　,日当り良好　 角部屋　,nan,貸主,nan,"
",南
6.2,99317872,2022年12月06日,2022年12月20日,福岡市南区塩原３丁目11-8  mapを見る,ヴァリエ大橋  205,西鉄天神大牟田線大橋駅 徒歩9分 駅までmap 鹿児島本線竹下駅 徒歩11分 駅までmap ,41.3㎡ / 約12.49坪,nan,1LDK,nan, 南東,nan,nan,nan,無,nan,　,nan,nan,1ヶ月,無,nan,無,nan,3000円,nan,無,nan,nan,有、12500円、1年、東京海上ウエスト（例）※契約者や条件によっては、内容が変更になる場合があります。,無,カギ交換費用：1万7600円消毒代（任意）：1万1000円更新事務手数料：1万1000円退去時クリーニング費：6万2000円,nan,町内会費：300円 / 月緊急サポート（SEE：880円 / 月,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上4階建,2階部分,1989[H1]年5月,居住中,相談　,都市ガス　 トイレ　 バス・トイレ別　 ＣＡＴＶ　 ガスコンロ設置可　 洗面台　 室内洗濯機置場　 バルコニー　 インターネット対応　 敷地内ゴミ置き場　,nan,人気の塩原地区☆環境・利便ともに好立地です☆,代理,nan,"
",南
6.5,99308682,2022年12月06日,2022年12月20日,福岡市南区横手３丁目９－２２  周辺mapを見る,徳尚ビル  201,西鉄天神大牟田線井尻駅 徒歩14分 ,66.97㎡ / 約20.26坪,nan,3DK,和 6　洋 6･8　DK 8, 南西 9.24㎡,nan,nan,nan,空有　6000円,nan,　,nan,nan,1ヶ月,1ヶ月,nan,無,nan,無,2000円,無,nan,nan,有、20000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上5階建,2階部分,1983[S58]年6月,空家,相談　,都市ガス　 給湯　 追焚機能　 トイレ　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 洗面所　 室内洗濯機置場　 フローリング　 バルコニー　,角部屋　,nan,専任媒介,nan,"
",南
3.2,99280028,2022年12月06日,2022年12月20日,福岡市南区塩原３丁目11-17  周辺mapを見る,松本コーポ  203,西鉄天神大牟田線大橋駅 徒歩7分 鹿児島本線竹下駅 徒歩9分 西鉄天神大牟田線高宮駅 徒歩15分 ,17㎡ / 約5.14坪,nan,1K,和 6　K 2,nan,nan,nan,nan,nan,nan,　,nan,nan,無,無,nan,無,nan,無,nan,無,有 指定保証会社　月額総支払いの３０～１００％※契約者や条件によっては、内容が変更になる場合があります。,nan,有※契約者や条件によっては、内容が変更になる場合があります。,5500円 ,nan,nan,町費：300円 / 月２４時間サポート：880円 / 月専用家財保険：740円 / 月,nan,1年,nan,nan,nan,木造,nan,nan,地上2階建,2階部分,1985[S60]年3月,空家,即時　,エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 ガスコンロ設置可　 洗濯機置場　 バルコニー　,角部屋　,画像・間取は別部屋　現状優先,代理,nan,"
",南
6.8,99051350,2022年12月05日,2022年12月19日,福岡市南区鶴田４丁目20-25  mapを見る,アンピールやよい坂 ,鶴田団地バス停 徒歩4分 ,壁芯70.05㎡ / 約21.19坪,nan,2LDK,nan, 12.32㎡,nan,nan,nan,空無,nan,　,nan,nan,無,無,実費,無,nan,無,5000円,無,"有 全保連（初回保証料50％(継続保証料10,000円/年)）※契約者や条件によっては、内容が変更になる場合があります。",nan,有、18600円、2年、火災保険（例）※契約者や条件によっては、内容が変更になる場合があります。,nan,nan,nan,nan,nan,2年,nan,巡回,nan,ＲＣ,nan,nan,地上7階建,7階部分,1988[S63]年12月,空家,相談　,都市ガス　 トイレ　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 収納スペース　 洗面所　 洗面台　 洗濯機置場　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 オートロック　 独立洗面脱衣所　 和室有　 ３口コンロ以上　,ペット不可　 二人入居可　 最上階　 子供可　,"初期費用 ・火災保険2年18,600円～（地震保険を付ける場合は20,000円）　※保険料改定等により金額が前後する場合がございます。・事務手数料有り・鍵交換代　19,800円(税込)違約金　 　1年未満/月額家賃等合計の2ヶ月分 　1年以上2年未満/月額家賃等合計の1ヶ月分 退去時 ・退去時原状回復費用については実費精算※補修費の特約あり・更新事務手数料(2年ごと)　16,500円(税込) ※ウォシュレット、照明4台(キッチン、リビング、洋室、和室)はサービス設置品※写真と異なる場合は現況を優先します。※ＡＤ※２００％",代理,nan,"
",南
