家賃,物件番号,情報更新日,次回更新予定日,所在地,建物名,沿線・駅・交通,専有面積,専用庭面積,間取り,間取り内訳,バルコニー,サービスルーム数,小学校区,中学校区,駐車場,駐車場：形式,駐車場：状況,駐車場備考,駐車場敷金,敷金,礼金,精算方式,保証金,保証金償却,管理費,共益費,雑費,家賃保証会社,家賃保証・保証費用等,保険,更新料,その他一時金,施設費用,その他費用,賃貸借区分,契約期間,特優賃区分,管理員の勤務形態,敷地延長,建物構造,建物工法,最適用途,階建,階,築年月,現況,入居可能時期,設備,特記事項,備考,取引態様,担当者,担当者連絡先,市区
4.8,99297068,2022年12月06日,2022年12月20日,福岡市博多区築港本町8-10  周辺mapを見る,達川ビル  303,福岡市空港線中洲川端駅 徒歩16分 福岡市箱崎線中洲川端駅 徒歩16分 福岡市箱崎線呉服町駅 徒歩17分 ,40㎡ / 約12.10坪,nan,2DK,和 6　洋 6　DK 4,nan,nan,nan,nan,nan,nan,　,nan,nan,1ヶ月,無,敷引 1ヶ月,無,nan,無,無,無,有 ふれんず宅建保証※契約者や条件によっては、内容が変更になる場合があります。,nan,有※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,1年,nan,nan,nan,ＲＣ,nan,nan,地上4階建,3階部分,1979[S54]年5月,空家,即時　,エアコン　 給湯　 トイレ　 バス・トイレ別　 収納スペース　 ガスコンロ設置可　,nan,事務所使用可能です！天神へ自転車で１０分圏内！,専任媒介,nan,"
",博多
7.3,99287466,2022年12月05日,2022年12月19日,福岡市博多区博多駅東３丁目176-1  mapを見る,LELION KAWAKAMI  303,福岡市空港線東比恵駅 徒歩7分 駅までmap 福岡市空港線博多駅 徒歩10分 駅までmap 鹿児島本線博多駅 徒歩10分 駅までmap ,34.18㎡ / 約10.34坪,nan,1LDK,nan,nan,nan,nan,nan,空無,nan,　,nan,nan,無,1.5ヶ月,実費,無,nan,5000円,nan,無,有 アシスト保証※契約者や条件によっては、内容が変更になる場合があります。,nan,無,旧賃料22000円 ,退去時清掃費（税別）：7万円,nan,安心サポート：1500円 / 月,nan,2年,nan,巡回,nan,ＲＣ,nan,nan,地上8階建,3階部分,2023[R5]年2月（新築）,未完成,予定　2023年3月上旬,プロパンガス　 エアコン　 給湯　 追焚機能　 トイレ　 バス・トイレ別　 温水洗浄便座　 ＢＳ端子　 ＣＳ　 収納スペース　 ウォークインクローゼット　 システムキッチン　 カウンターキッチン　 シャンプードレッサー　 室内洗濯機置場　 浴室乾燥機　 フローリング　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 インターネット使い放題　 防犯カメラ　 全居室フローリング　 玄関収納　 シューズボックス　 ３口コンロ以上　,未入居　 保証人不要　,"当社の空室資料はこちらからダウンロードできます。ＩＤ、ＰＡＳＳは直接ご連絡下さい！！【ゼロ不動産管理ホームページ】http://www.zerokanri.co.jp/trader/index.html毎週月、金曜日18時に最新情報更新！！【初期費用等】鍵交換代：契約時不要　退去時紛失の場合22,000円（税込）保証会社：保証人有40％　無50％安心サポート：初回入会金5,000円(簡易消火器付)月額1,500円※安心サポートには24時間緊急サポートと家財保険が含まれます。町費：未定バイク（原付）駐輪：月額1,100円（税込）",代理,nan,"
",博多
6.5,99302269,2022年12月06日,2022年12月20日,福岡市博多区比恵町１０－１  mapを見る,ロータリープラザ博多駅東  203,鹿児島本線博多駅 徒歩11分 瑞穂バス停 徒歩3分 駅までmap ,47.4㎡ / 約14.34坪,nan,2LDK,和6／和4.5／洋4.5／ＤＫ6, 南西,nan,nan,nan,無,nan,　,nan,nan,無,2ヶ月 / 13万円,nan,無,nan,無,無,無,nan,nan,有、20000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上7階建,2階部分,1985[S60]年3月,空家,相談　,都市ガス　 電気　 上水道　 下水道　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＢＳ端子　 ガスコンロ設置可　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 駐輪場　 独立洗面脱衣所　,分譲タイプ　,博多駅までも徒歩圏内のファミリー物件。分譲賃貸マンションならではの重厚感。エレベーター付でご高齢の方も安心ですね。博多では希少な２LK、洋室2部屋にリノベ中！,専任媒介,nan,"
",博多
7.1,99114569,2022年12月05日,2022年12月19日,福岡市博多区麦野４丁目38-1  mapを見る,リアンシエルブルー雑餉隈  1002,西鉄天神大牟田線雑餉隈駅 徒歩2分 駅までmap 鹿児島本線南福岡駅 徒歩8分 駅までmap 鹿児島本線春日駅 徒歩18分 駅までmap ,32.25㎡ / 約9.76坪,nan,1LDK,ＬＤＫ10／洋4, 8.38㎡,nan,nan,nan,空無,nan,　,nan,nan,無,1ヶ月,nan,無,nan,無,5000円,無,有 確認ください（全保連　月額合計100％ジェイリース　月額合計80％日本セーフティ：月額合計80％～100％）※契約者や条件によっては、内容が変更になる場合があります。,nan,有、15000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,鍵交換代：1万9800円,nan,共益費：5000円 / 月町費：400円 / 月シード24：840円 / 月口座振替手数料：400円 / 月,nan,1年,nan,nan,nan,ＲＣ,nan,nan,地上11階建,10階部分,2020[R2]年3月,居住中,相談　,プロパンガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＢＳ端子　 ＣＳ　 収納スペース　 ウォークインクローゼット　 システムキッチン　 洗面所　 洗面台　 シャンプードレッサー　 洗濯機置場　 室内洗濯機置場　 浴室乾燥機　 フローリング　 ディンプルキー　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 24時間セキュリティ　 ２口コンロ　 インターネット使い放題　 防犯カメラ　 火災報知機　 光ファイバー　 ダブルロックキー　 シューズボックス　 敷地内ゴミ置き場　,ペット相談可　 小型犬可　 猫可　 日当り良好　 外観タイル張り　 眺望良好　,退去時クリーニング：44000円,代理,nan,"
",博多
8.1,99288020,2022年12月06日,2022年12月20日,福岡市博多区綱場町6-2  周辺mapを見る,パークレジデンシャル博多  1202号,福岡市空港線中洲川端駅 徒歩5分 福岡市箱崎線　呉服町駅３分,33.89㎡ / 約10.25坪,nan,1LDK,洋 3.2　LDK 10.1,nan,nan,nan,nan,nan,nan,　,nan,nan,無,2ヶ月,nan,無,nan,4000円,nan,400円,nan,nan,有、13000円、2年、火災（例）※契約者や条件によっては、内容が変更になる場合があります。,15000円 ,nan,nan,駐輪場　有：300円 / 月バイク置場　有：2200円 / 月,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上15階建,12階部分,2009[H21]年7月,空家,即時　,都市ガス　 エアコン　 バス・トイレ別　 システムキッチン　 室内洗濯機置場　 浴室乾燥機　 バルコニー　 トランクルーム　 エレベーター　 オートロック　 駐輪場　 防犯カメラ　,法人契約希望　,法人契約希望、インターネット（Ｗｉ－Ｆｉ）無料、単身者向き、トランクルーム有,一般媒介,nan,"
",博多
7.7,98556381,2022年12月06日,2022年12月20日,福岡市博多区博多駅前１丁目28-33  mapを見る,アルファコンフォート博多  1105,福岡市空港線博多駅 徒歩8分 駅までmap 福岡市空港線祇園駅 徒歩5分 駅までmap 福岡市箱崎線呉服町駅 徒歩14分 駅までmap ,23.97㎡ / 約7.25坪,nan,ワンルーム,nan, 南東,nan,nan,nan,空有　2万円,nan,　,nan,nan,無,2ヶ月,nan,無,nan,2万5000円,nan,無,nan,nan,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,給湯料：5000円オゾン消毒費：1万8000円,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上11階建,11階部分,1996[H8]年2月,空家,相談　,エアコン　 ボイラー式給湯システム　 ＢＳ端子　 ＣＳ　 室内洗濯機置場　 洗濯乾燥機　 照明器具付き　 エレベーター　 駐輪場　 24時間セキュリティ　,法人限定　 日当り良好　,nan,貸主,nan,"
",博多
3.4,98749432,2022年12月05日,2022年12月19日,福岡市博多区空港前２丁目６－１５  mapを見る,サンハイツ空港  102,福岡市空港線福岡空港駅 徒歩4分 稲城バス停 徒歩4分 駅までmap 篠栗線柚須駅 徒歩21分 駅までmap ,24㎡ / 約7.26坪,nan,1DK,ＤＫ5／洋6, 南,nan,nan,nan,空有　8800円,nan,　,nan,nan,無,無,nan,無,nan,無,3000円,無,nan,nan,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上3階建,1階部分,1988[S63]年3月,空家,相談　2022年5月24日,プロパンガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ同　 シャワー　 ＣＡＴＶ　 ガスコンロ設置可　 洗面台　 室内洗濯機置場　 バルコニー　 ＴＶモニタ付きインターホン　 インターネット使い放題　 防犯カメラ　,リノベーション　 南向き　,徒歩圏内にはコンビニや公園があります！！駐車場の空きについては要確認,専任媒介,nan,"
",博多
4.2,99318722,2022年12月05日,2022年12月19日,福岡市博多区住吉５丁目6-27  mapを見る,ピュアドームアーデント博多  505,鹿児島本線博多駅 徒歩14分 駅までmap 西鉄天神大牟田線西鉄平尾駅 徒歩21分 駅までmap 住吉四丁目バス停 徒歩5分 ,壁芯19.23㎡ / 約5.82坪,nan,1K,nan, 北東 2.8㎡,nan,nan,nan,無,nan,　,管理会社　(株)コミュニティサービス　092－781－7744,nan,無,無,実費,無,nan,5000円,無,無,有（要確認）※契約者や条件によっては、内容が変更になる場合があります。,nan,有、要確認（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,家財保険：2100円 / 月水道代：2800円 / 月,nan,2年,nan,巡回,nan,ＲＣ,nan,nan,地上7階建,5階部分,1999[H11]年9月,空家,予定　2023年1月中旬,都市ガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 ＣＡＴＶ　 収納スペース　 システムキッチン　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 オートロック　 駐輪場　 全居室フローリング　 シューズボックス　 敷地内ゴミ置き場　,ペット不可　 日当り良好　 閑静住宅街　 分譲タイプ　 外観タイル張り　 眺望良好　,"担当:フクシゲ080-5265-1235室内の内覧は2023年1月1日以降です。1：鍵交換代　15,000円（税別）2：家賃保証会社　ニッポンインシュア（株）　保証料は月額、管理費合計の３０％書式のダウンロード先→　https://www.nipponinsure.jp/document/3：火災保険・家賃引き落とし手数料・家賃保証更新料　月額　2,100円4：事務手数料　10,000円　（税別）5：退去時　家賃と管理料込みの1ヶ月分（室内清掃代として）6：1年未満の退去は違約金　家賃と管理料込みの2ヶ月分7：2年未満の退去は違約金　家賃と管理料込みの1ヶ月分8：賃貸契約更新　内容（自動更新、更新料なし）以上。ご準備頂くもの。個人契約の場合認印　/　身分証明書のコピー（免許証の場合は裏表のコピー）社会保険証のコピーは、お持ちの方のみご提出ください。保証人が必要な場合：実印　/　印鑑証明　/　身分証明書のコピー（免許証の場合は裏表のコピー）  法人・個人事業の契約の場合法人：会社の謄本　/　会社の印鑑個人事業主：所得証明証　/　会社の印鑑法人も個人も連帯保証人必須：実印　/　印鑑証明　/　身分証明書のコピー（免許証の場合は裏表のコピー）をご用意ください。",貸主,福重（フクシゲ）,"
										TEL：080-5265-1235
										メールアドレス：2525fukufuku@gmail.com
",博多
3.6,99244398,2022年12月06日,2022年12月20日,福岡市博多区三筑２丁目４－２  mapを見る,三筑グローリーハイツ  4006,西鉄天神大牟田線雑餉隈駅 徒歩12分 麦野４丁目バス停 徒歩5分 駅までmap 鹿児島本線南福岡駅 徒歩15分 駅までmap ,30㎡ / 約9.08坪,nan,2DK,和4.5／和6／ＤＫ4.5, 北,nan,nan,nan,空有　6600円,nan,　,nan,nan,無,1ヶ月 / 3.6万円,nan,無,nan,無,3000円,無,nan,nan,有、20000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,鉄骨造,nan,nan,地上5階建,4階部分,1987[S62]年7月,空家,相談　2022年9月17日,都市ガス　 電気　 上水道　 エアコン　 給湯　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 洗濯機置場　 エレベーター　 駐輪場　,nan,嬉しいエレベーター付き！駐車場の空きについては要確認,専任媒介,nan,"
",博多
11.2,99314746,2022年12月05日,2022年12月19日,福岡市博多区竹丘町１丁目６以下未定  周辺mapを見る,レイクヒルズ桜並木  202,鹿児島本線南福岡駅 徒歩5分 西鉄天神大牟田線雑餉隈駅 徒歩8分 西鉄天神大牟田線春日原駅 徒歩17分 ,51.47㎡ / 約15.57坪,nan,2SLDK,ＬＤＫ11.5／洋5／洋5.5, 東,nan,nan,nan,空有　9900円,nan,　,nan,nan,1ヶ月 / 11.2万円,1.5ヶ月 / 16.8万円,nan,無,nan,無,6500円,無,nan,nan,有、20000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,その他,nan,nan,地上3階建,2階部分,2022[R4]年12月（新築）,空家,相談　,都市ガス　 電気　 上水道　 下水道　 エアコン　 追焚機能　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 システムキッチン　 カウンターキッチン　 室内洗濯機置場　 浴室乾燥機　 フローリング　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 ２口コンロ　 インターネット使い放題　 独立洗面脱衣所　 防犯カメラ　,nan,駐車場の空きについては要確認,専任媒介,nan,"
",博多
