家賃,物件番号,情報更新日,次回更新予定日,所在地,建物名,沿線・駅・交通,専有面積,専用庭面積,間取り,間取り内訳,バルコニー,サービスルーム数,小学校区,中学校区,駐車場,駐車場：形式,駐車場：状況,駐車場備考,駐車場敷金,敷金,礼金,精算方式,保証金,保証金償却,管理費,共益費,雑費,家賃保証会社,家賃保証・保証費用等,保険,更新料,その他一時金,施設費用,その他費用,賃貸借区分,契約期間,特優賃区分,管理員の勤務形態,敷地延長,建物構造,建物工法,最適用途,階建,階,築年月,現況,入居可能時期,設備,特記事項,備考,取引態様,担当者,担当者連絡先,市区
5.0,99313700,2022年12月05日,2022年12月19日,福岡市東区美和台７丁目２９－３  mapを見る,ワンダフル美和台  302,西日本鉄道貝塚線三苫駅 徒歩3分 美和台２丁目バス停 徒歩1分 駅までmap 鹿児島本線福工大前駅 徒歩18分 駅までmap ,45㎡ / 約13.61坪,nan,2DK,ＤＫ6／洋4.5／和6, 南西,nan,nan,nan,空有　1万1000円,nan,　,nan,nan,無,1ヶ月 / 5万円,nan,無,nan,無,2000円,無,nan,nan,有、20000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上3階建,3階部分,1992[H4]年10月,空家,相談　,都市ガス　 電気　 上水道　 エアコン　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＣＡＴＶ　 ガスコンロ設置可　 シャンプードレッサー　 室内洗濯機置場　 フローリング　 バルコニー　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 インターネット使い放題　 独立洗面脱衣所　,nan,駐車場の空きについては要確認,専任媒介,nan,"
",東
3.5,98882822,2022年12月05日,2022年12月19日,福岡市東区唐原１丁目19-27  mapを見る,ヴィクトワール唐原  102,鹿児島本線九産大前駅 徒歩9分 駅までmap 西日本鉄道貝塚線香椎花園前駅 徒歩9分 駅までmap 西日本鉄道貝塚線唐の原駅 徒歩9分 駅までmap ,壁芯21.6㎡ / 約6.53坪,nan,1K,Ｋ2.5／洋6.5, 南東,nan,福岡市立香住丘小学校　距離392ｍ,福岡市立香椎第2中学校　距離1082ｍ,空無　5500円,自走（平置きも含む）,　,nan,nan,無,2ヶ月,実費,無,nan,無,無,100円,有 ジェイリース※契約者や条件によっては、内容が変更になる場合があります。,入居時賃料の80％　学生は10000円,有、15000円、2年、日新火災保険（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,巡回,nan,木造,nan,nan,地上2階建,1階部分,2002[H14]年2月,空家,相談　,プロパンガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 収納スペース　 システムキッチン　 ロフト　 フローリング　 バルコニー　 駐輪場　 ２口コンロ　 インターネット使い放題　 インターネット対応　 光ファイバー　 ＣＡＴＶインターネット　 敷地内ゴミ置き場　,ペット不可　,九産大まで徒歩10分圏内JCOMネット120Ｍ WiFi無料,専任媒介,nan,"
",東
6.3,99280701,2022年12月06日,2022年12月20日,福岡市東区和白６丁目19-4  mapを見る,アネックス三苫II  402,西日本鉄道貝塚線和白駅 徒歩11分 駅までmap ,69.7㎡ / 約21.08坪,nan,3LDK,nan, 南,nan,nan,nan,空無,nan,　,17台,nan,無,1ヶ月,nan,無,nan,3000円,nan,無,nan,nan,有、13000円、1年、東京海上ウエスト（例）※契約者や条件によっては、内容が変更になる場合があります。,無,カギ交換費用：1万7600円消毒代（任意）：1万6500円退去時清掃代：6万9300円更新事務手数料：1万1000円,nan,町内会費：500円 / 月緊急サポート（SEE：880円 / 月,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上4階建,4階部分,1993[H5]年10月,空家,即時　,プロパンガス　 エアコン　 トイレ　 バス・トイレ別　 温水洗浄便座　 ガスコンロ設置可　 洗面所　 室内洗濯機置場　 フローリング　 バルコニー　 ＴＶモニタ付きインターホン　 駐輪場　 インターネット使い放題　 インターネット対応　 シューズボックス　,フリーレント　 最上階　,エアコンをリビングに1台設置、洗面台を新品に取替済,代理,nan,"
",東
7.6,98273644,2022年12月05日,2022年12月19日,福岡市東区箱崎１丁目６－１６  mapを見る,Ａｄｅｎ箱崎駅前  1503,鹿児島本線箱崎駅 徒歩1分 箱崎駅西口バス停 徒歩1分 駅までmap 福岡市箱崎線箱崎九大前駅 徒歩12分 駅までmap ,37.05㎡ / 約11.21坪,nan,1LDK,ＬＤＫ9.4／洋5, 西,nan,nan,nan,空有　1万2100円,nan,　,nan,1万1000円,無,無,nan,無,nan,無,5000円,無,nan,nan,有、20000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＳＲＣ,nan,nan,地上15階建,15階部分,2008[H20]年2月,空家,相談　2022年11月29日,プロパンガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 ＢＳ端子　 ＣＳ　 ＩＨクッキングヒーター　 シャンプードレッサー　 室内洗濯機置場　 フローリング　 照明器具付き　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 インターネット使い放題　 独立洗面脱衣所　 防犯カメラ　,nan, 箱崎駅目の前！充実設備と抜群の立地で快適な生活が送れそうですね！駐車場の空きについては要確認,専任媒介,nan,"
",東
6.4,99308097,2022年12月05日,2022年12月19日,福岡市東区香住ヶ丘２丁目16-26(仮)  mapを見る,仮）香住ヶ丘AP2  201,鹿児島本線九産大前駅 徒歩4分 駅までmap 西日本鉄道貝塚線香椎花園前駅 徒歩10分 駅までmap 西日本鉄道貝塚線唐の原駅 徒歩13分 駅までmap ,内法35.36㎡ / 約10.70坪,nan,1LDK,ＬＤＫ12.2／洋3.8,nan,nan,nan,nan,無,nan,　,nan,nan,無,1ヶ月,実費,無,nan,無,3000円,無,有 ジェイリース※契約者や条件によっては、内容が変更になる場合があります。,初回保証料60％,有、18000円、2年、日本共済（例）※契約者や条件によっては、内容が変更になる場合があります。,旧賃料22000円 ,nan,nan,２４時間サポート：660円 / 月,nan,2年,nan,巡回,nan,木造,nan,nan,地上3階建,2階部分,2023[R5]年2月（新築）,未完成,予定　2023年2月下旬,プロパンガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＣＡＴＶ　 ＢＳ端子　 収納スペース　 システムキッチン　 カウンターキッチン　 浴室乾燥機　 フローリング　 バルコニー　 オートロック　 ＴＶモニタ付きインターホン　 ２口コンロ　 インターネット使い放題　 独立洗面脱衣所　 シャッター(雨戸）　 全居室フローリング　 光ファイバー　 シューズボックス　,角部屋　,"※物件のお問い合わせは下記担当者携帯までご連絡下さい。FAX番号:(092)707-7099入居時消毒代16,500円（税込）退去時クリーニング代　49,500円（税込）短期解約違約金　1年未満2か月　1年以上2年未満1ヶ月町費有り。（確認中）",貸主,松森,"
										TEL：080-8592-6749
",東
8.2,99317985,2022年12月05日,2022年12月19日,福岡市東区筥松１丁目１３－５  mapを見る,ソルジュ  505,鹿児島本線箱崎駅 徒歩9分 前川町バス停 徒歩8分 駅までmap 福岡市箱崎線箱崎宮前駅 徒歩20分 駅までmap ,69.12㎡ / 約20.91坪,nan,3LDK,和6／洋6／洋6／ＬＤＫ12, 南東,nan,nan,nan,空有　6600円,nan,　,nan,nan,無,2ヶ月 / 16.4万円,nan,無,nan,無,6000円,無,nan,nan,有、22000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上6階建,5階部分,1999[H11]年3月,居住中,相談　,プロパンガス　 電気　 上水道　 下水道　 追焚機能　 シャワー　 ＣＡＴＶ　 ＢＳ端子　 ＣＳ　 洗面台　 シャンプードレッサー　 室内洗濯機置場　 フローリング　 エレベーター　 オートロック　 宅配ボックス　 駐輪場　 出窓　 ２口コンロ　 インターネット使い放題　 防犯カメラ　,nan,駐車場の空きについては要確認,専任媒介,nan,"
",東
5.3,99256547,2022年12月05日,2022年12月19日,福岡市東区香住ヶ丘６丁目13-6  mapを見る,ソネット香住ヶ丘  103,西日本鉄道貝塚線香椎花園前駅 徒歩4分 駅までmap ,壁芯29.85㎡ / 約9.03坪,nan,1K,nan, 西,nan,nan,nan,空有　7000円,自走（平置きも含む）,【 屋根状況　屋根なし 】　,駐車場の空きは都度ご確認下さい。,nan,無,1ヶ月,実費,無,nan,無,3000円,無,有 ふれんずサポート保証（賃料総額の50％+単身特約（単身の場合）10000円）※契約者や条件によっては、内容が変更になる場合があります。,nan,有、15000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,nan,鍵交換代：1万6500円,nan,nan,定期借家,2年,nan,巡回,nan,ＲＣ,nan,nan,地上3階建,1階部分,2002[H14]年3月,空家,即時　,都市ガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 収納スペース　 電気コンロ　 洗面所　 室内洗濯機置場　 フローリング　 バルコニー　 オートロック　 宅配ボックス　 駐輪場　 防犯カメラ　 全居室フローリング　 インターネット対応　 光ファイバー　 敷地内ゴミ置き場　,ペット相談可　 小型犬可　 猫可　 二人入居可　 日当り良好　 閑静住宅街　 角部屋　 外観タイル張り　 内装リフォーム　,"口座引落手数料　：　別途月額300円礼金　　　　　　：　ペット飼育の場合はプラス1ヶ月分です。短期解約違約金　：　1年未満の場合賃料1ヶ月分再契約時 手数料　：　20,000円（税別）退去時清掃費用　：　35,000円（税別）＊　インターネット使用の際、ルーターは入居者様にてご用意下さい。",専任媒介,音在則孝,"
										TEL：090-3415-3703
										メールアドレス：nemu@otonet.jp
",東
7.0,99232873,2022年12月05日,2022年12月19日,福岡市東区原田４丁目34-18  mapを見る,ロフティ箱崎公園通り ,松田バス停 徒歩6分 篠栗線柚須駅 徒歩18分 駅までmap 鹿児島本線箱崎駅 徒歩21分 駅までmap ,壁芯63.65㎡ / 約19.25坪,nan,3LDK,nan, 11.58㎡,nan,福岡市立松島小学校　距離1020ｍ,福岡市立箱崎中学校　距離2581ｍ,空無,nan,　,nan,nan,無,無,実費,無,nan,無,5000円,無,"有 全保連（初回保証料50％(継続保証料10,000円/年)）※契約者や条件によっては、内容が変更になる場合があります。",nan,有、17000円、2年、火災保険（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,日勤,nan,ＲＣ,nan,nan,地上8階建,6階部分,1995[H7]年1月,空家,相談　,トイレ　 バス・トイレ別　 シャワー　 収納スペース　 システムキッチン　 洗面台　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 オール電化　 和室有　 光ファイバー　 シューズボックス　 押入れ　,ペット不可　 分譲タイプ　,"【初期費用】火災保険 2年 17,000円～（地震保険を付ける場合は18,000円）　※保険料改定等により金額が前後する場合がございます。鍵交換代　25,300円(税込)※入居時事務手数料あり【更新時】更新事務手数料 16,500円(税込)/2年間【退去時】 実費精算 ※補修費の特約あり、詳細はお問い合わせ下さい。【その他】・短期解約違約金　1年未満/月額賃料合計の2ヶ月分、1年以上2年未満/月額賃料合計の1ヶ月分・町費500円/月　管理組合より直接請求有※物件にエアコンやウォシュレット、照明が設置されている場合はサービス設置品となります。※間取図等現況と異なる場合は、現況を優先します 。",代理,nan,"
",東
2.0,99153328,2022年12月06日,2022年12月20日,福岡市東区香椎駅東２丁目9-16  mapを見る,アラガール香椎  101,鹿児島本線香椎駅 徒歩8分 駅までmap 香椎線香椎駅 徒歩7分 駅までmap 西日本鉄道貝塚線西鉄香椎駅 徒歩11分 駅までmap ,24㎡ / 約7.26坪,nan,1DK,nan,nan,nan,nan,nan,空有　5000円,nan,　,nan,nan,無,無,nan,無,nan,無,1000円,無,有 フォーシーズ※契約者や条件によっては、内容が変更になる場合があります。,nan,有※契約者や条件によっては、内容が変更になる場合があります。,5500円 ,nan,nan,町費：400円 / 月シード２４：880円 / 月月額保険：740円 / 月,nan,1年,nan,nan,nan,その他,nan,nan,地上2階建,1階部分,1984[S59]年10月,空家,相談　,エアコン　 トイレ　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 収納スペース　 ガスコンロ設置可　 洗濯機置場　 テラス　,閑静住宅街　 角部屋　,nan,代理,nan,"
",東
2.9,99141406,2022年12月05日,2022年12月19日,福岡市東区三苫７丁目3-19  mapを見る,SAISON21  610,西日本鉄道貝塚線三苫駅 徒歩6分 駅までmap 西日本鉄道貝塚線西鉄新宮駅 徒歩22分 駅までmap 香椎線和白駅 徒歩24分 駅までmap ,21㎡ / 約6.35坪,nan,1K,nan,無,nan,nan,nan,空無　7000円,nan,　,nan,nan,無,無,nan,無,nan,無,3000円,無,有 日本セーフティー（初回保証料50％(最低保証料20000円）年間更新料12000円(税込））※契約者や条件によっては、内容が変更になる場合があります。,nan,無,無,鍵交換代：2万2000円,nan,水道料：2500円 / 月家財保険（緊急サポー：2000円 / 月町費：400円 / 月共益費：3000円 / 月,nan,1年,nan,巡回,nan,ＲＣ,nan,nan,地上7階建,6階部分,1997[H9]年3月,空家,即時　,エアコン　 給湯　 トイレ　 バス・トイレ別　 収納スペース　 ＩＨクッキングヒーター　 洗濯機置場　 室内洗濯機置場　 フローリング　 エレベーター　 宅配ボックス　 駐輪場　,nan,退去時クリーニング：31900円,代理,nan,"
",東
